sku,name,category,price_mxn,price_usd,unit,active
SALE-AZULITO-BARRA-LIBRE,"AZULITO (BARRA LIBRE)",access,0,,unit,false
SALE-BICHOTA-BL,"BICHOTA BL",cocktail,0,,unit,false
SALE-CAIPIRINA-BARRA-LIBRE,"CAIPIRIÑA (BARRA LIBRE)",access,0,,unit,false
SALE-PALOMA-BARRA-LIBRE,"PALOMA (BARRA LIBRE)",access,0,,unit,false
SALE-REY-MAMABICHO-BL,"REY MAMABICHO BL",cocktail,0,,unit,false
SALE-SEX-ON-THE-BEACH-BARRA-LIBRE,"SEX ON THE BEACH (BARRA LIBRE)",access,0,,unit,false
SALE-30-30-ANEJO,"30-30 AÑEJO",cocktail,2600,,unit,true
SALE-30-30-BLANCO,"30-30 BLANCO",cocktail,1500,,unit,true
SALE-30-30-CRISTALINO,"30-30 CRISTALINO",cocktail,3000,,unit,true
SALE-30-30-REPOSADO,"30-30 REPOSADO",cocktail,1500,,unit,true
SALE-ABSOLUT,"ABSOLUT",bottle,1250,,unit,true
SALE-ABSOLUT-LIMON,"ABSOLUT LIMON",bottle,1250,,unit,true
SALE-ABSOLUT-MANGO,"ABSOLUT MANGO",bottle,1250,,unit,true
SALE-ABSOLUT-PERA,"ABSOLUT PERA",bottle,1250,,unit,true
SALE-ABSOLUT-RASPBERRY,"ABSOLUT RASPBERRY",bottle,1250,,unit,true
SALE-ABSOLUT-SANDIA,"ABSOLUT SANDIA",bottle,1250,,unit,true
SALE-AZUL-MANGO,"AZUL MANGO",cocktail,1250,,unit,true
SALE-BACARDI,"BACARDI",bottle,1250,,unit,true
SALE-BACARDI-LIMON,"BACARDI LIMON",bottle,1250,,unit,true
SALE-BACARDI-MANGO-CHILE,"BACARDI MANGO CHILE",bottle,1250,,unit,true
SALE-BACARDI-RASPBERRY,"BACARDI RASPBERRY",bottle,1250,,unit,true
SALE-BARULLO-SPICY-SANDIA,"BARULLO SPICY SANDIA",cocktail,1600,,unit,true
SALE-BLACK-LABEL,"BLACK LABEL",bottle,2650,,unit,true
SALE-BLUE-LABEL,"BLUE LABEL",bottle,13000,,unit,true
SALE-BOMBAY,"BOMBAY",bottle,2000,,unit,true
SALE-BUCHANANS-12,"BUCHANANS 12",bottle,2650,,unit,true
SALE-BUCHANANS-18,"BUCHANANS 18",bottle,4000,,unit,true
